"country","category","indicator","response"
"Cabo Verde","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","N/A"
"Cabo Verde","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","No"
"Cabo Verde","Virological surveillance","Antiviral susceptibility testing capability","No"
"Cabo Verde","Virological surveillance","Average number of virological samples processed per week (2024)","N/A"
"Cabo Verde","Virological surveillance","Does the country forward samples to a WHO CC?","No"
"Cabo Verde","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Cabo Verde","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","No"
"Cabo Verde","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Cabo Verde","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Cabo Verde","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Cabo Verde","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","No"
"Cabo Verde","Virological surveillance","RT-PCR","Yes"
"Cabo Verde","Virological surveillance","Sequencing capacity","Yes"
"Cabo Verde","Virological surveillance","Type of virological surveillance","Sentinel"
"Cabo Verde","Virological surveillance","Virus Isolation capacity","No"
"Cabo Verde","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","No"
"Cabo Verde","Data reporting & use","Does the country report to the FluID?","No"
"Cabo Verde","Data reporting & use","Does the country report to the FluNet?","No"
"Cabo Verde","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","No"
"Cabo Verde","Data reporting & use","Has the country performed a burden of disease analysis?","No"
"Cabo Verde","Data reporting & use","Was it published? If yes provide link","No"
"Cabo Verde","Data reporting & use","What was the estimated burden?","No"
"Cabo Verde","Data reporting & use","What year was it performed?","No"
"Cabo Verde","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","Yes"
"Cabo Verde","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","Yes"
"Cabo Verde","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","No"
"Cabo Verde","Vaccination","What are the recommended risk groups for influenza vaccine?","Chronic conditions               Older adults"
"Cabo Verde","Vaccination","Which vaccine formulation is used in the country: Northern/Southern hemisphere vaccine?","Northen Hemisphere"
"Cabo Verde","Pandemic preparedness and response","All Hazardzs","No response"
"Cabo Verde","Pandemic preparedness and response","COVID-19 specific","No response"
"Cabo Verde","Pandemic preparedness and response","Does the country have another pandemic preparedness plan available?","No response"
"Cabo Verde","Pandemic preparedness and response","Does the country have an updated national pandemic vaccine deployment plan for Influenza pandemic vaccine","No"
"Cabo Verde","Pandemic preparedness and response","Does the country have a respiratory pathogen pandemic preparedness pan (PRET)?","In progress"
"Cabo Verde","Pandemic preparedness and response","Has the country perfomed a influenza simulation exercise(s) for their pandemic preparedness plan?","No"
"Cabo Verde","Pandemic preparedness and response","Influenza specific","No response"
"Cabo Verde","Pandemic preparedness and response","Year plan Last updated","2023 Draft"
"Cabo Verde","Pandemic preparedness and response","Year simulation conducted","No"
"Cabo Verde","Integration of Influenza surveillance and SARS-CoV-2","Does the country report SARS-CoV-2 results to the Flu Net?","No"
"Cabo Verde","Integration of Influenza surveillance and SARS-CoV-2","Has the country integrated influenza and SARS-CoV-2 sentinel surveillance?","Yes"
"Cabo Verde","Zoonotic Influenza surveillance","Does the country perform surveillance activities at the human-animal interface?","Yes"
"Cabo Verde","Zoonotic Influenza surveillance","Has the country held an IHR (International Health Regulations) Review?","No"
"Cabo Verde","Zoonotic Influenza surveillance","Has the country performed joint risk assessment?","No"
"Cabo Verde","Zoonotic Influenza surveillance","If yes, when","In progress"
"Cameroon","Population and Economy","Life expectancy","61"
"Cameroon","Population and Economy","Population","28372687"
"Cameroon","Population and Economy","Total Health Expenditure","3.82"
"Cameroon","Mortality per 100 000 population","All cause/all ages","1270.1"
"Cameroon","Mortality per 1000 live births","All cause/under 5 years","69.8"
"Cameroon","Influenza like Illness (ILI) Surveillance","Is laboratory confirmation sought for ILI sentinel surveillance","Yes"
"Cameroon","Influenza like Illness (ILI) Surveillance","Numbers of ILI sentinel surveillance sites","19"
"Cameroon","Influenza like Illness (ILI) Surveillance","Surveillance case definition used for ILI case ascertainment.","WHO 2014"
"Cameroon","Influenza like Illness (ILI) Surveillance","Type of ILI surveillance","Sentinel"
"Cameroon","Severe acute respiratory infection (SARI) surveillance","Is laboratory confirmation sought for SARI sentinel surveillance","Yes"
"Cameroon","Severe acute respiratory infection (SARI) surveillance","Is there timely all-cause mortality data available in the country?","No"
"Cameroon","Severe acute respiratory infection (SARI) surveillance","Number of SARI sentinel surveillance sites","9"
"Cameroon","Severe acute respiratory infection (SARI) surveillance","Sentinel sites involved in SARI surveillance.","Hospital"
"Cameroon","Severe acute respiratory infection (SARI) surveillance","Surveillance case definition used for SARI case ascertainment.","WHO 2014"
"Cameroon","Severe acute respiratory infection (SARI) surveillance","Type of SARI surveillance","Sentinel"
"Cameroon","Virological surveillance","Antiviral susceptibility testing capability","No"
"Cameroon","Virological surveillance","Average number of virological samples processed per week (2024)","77"
"Cameroon","Virological surveillance","Does the country forward samples to a WHO CC?","Yes"
"Cameroon","Virological surveillance","Does the country have a designated National Influenza reference laboratory?","Yes"
"Cameroon","Virological surveillance","Does the country have a WHO recognized National Influenza Centre (NIC)?","Yes"
"Cameroon","Virological surveillance","Does the country have genomic sequencing capacity?","Yes"
"Cameroon","Virological surveillance","Does the country have RT-PCR capacity?","Yes"
"Cameroon","Virological surveillance","Does the country test for other respiratory viruses?","Yes"
"Cameroon","Virological surveillance","Does the laboratory participate in the External Quality Assurance Panel (EQAP)?","Yes"
"Cameroon","Virological surveillance","RT-PCR","Yes"
"Cameroon","Virological surveillance","Sequencing capacity","Yes"
"Cameroon","Virological surveillance","Type of virological surveillance","Yes"
"Cameroon","Virological surveillance","Virus Isolation capacity","No"
"Cameroon","Data reporting & use","Are epidemiological and virological sentinel surveillance datasets integrated?","Yes"
"Cameroon","Data reporting & use","Does the country report to the FluID?","Yes"
"Cameroon","Data reporting & use","Does the country report to the FluNet?","Yes"
"Cameroon","Data reporting & use","Does the country use the PISA tool to assess the severity of seasonal influenza?","Yes"
"Cameroon","Data reporting & use","Has the country performed a burden of disease analysis?","In progress"
"Cameroon","Data reporting & use","Reporting consistency (2023-2024)","0.96"
"Cameroon","Data reporting & use","Was it published? If yes provide link","N/A"
"Cameroon","Data reporting & use","What year was it performed?","N/A"
"Cameroon","Vaccination","Does the country have a formal seasonal influenza vaccination policy?","Yes"
"Cameroon","Vaccination","Has seasonal influenza vaccine been introduced in the private sector?","Yes"
"Cameroon","Vaccination","Has seasonal influenza vaccine been introduced in the public sector? Year introduced;","Yes"
"Cameroon","Vaccination","What are the recommended risk groups for influenza vaccine?","Chronic conditions, Older adults, Pregnant women, Children under 5"
